Id de Empleado,Nombre,email,Tipo de Contrato,Estado,Ordenes Entregadas,Ciudad ID,Activo desde
4119455,Arendel 46,arendeltech+46@gmail.com,FULL_TIME,working,2,1006,11:00
4074204,arendeltech RIDER,arendeltech+558@gmail.com,FULL_TIME,working,2,902,14:30
4199645,Arendel 10978,arendeltech+10978@gmail.com,FULL_TIME,working,1,749,16:00
4070211,Arendel RIDER,arendeltech+588@gmail.com,FULL_TIME,working,1,1026,13:30
4126399,Arendel 92,rendeltech+92@gmail.com,FULL_TIME,working,1,1006,15:30
4070227,arendeltech RIDER,arendeltech+569@gmail.com,FULL_TIME,working,1,734,13:00
4070303,Arendel RIDER,arendeltech+578@gmail.com,FULL_TIME,working,1,734,13:00
4266759,Arendel 11210,arendeltech+11210@gmail.com,FULL_TIME,working,1,734,10:30
4096534,arendeltech RIDER,arendeltech+322@gmail.com,FULL_TIME,working,1,1014,15:00
4115655,Arendel 151,arendeltech+151@gmail.com,FULL_TIME,working,1,1014,11:00
4100443,Arendel RIDER,arendeltech+299@gmail.com,FULL_TIME,working,1,882,13:00
4107329,Arendel RIDER,arendeltech+192@gmail.com,FULL_TIME,working,1,882,15:30
4113505,Arendel RIDER,arendeltech+246@gmail.com,FULL_TIME,working,1,882,14:30
4177456,Arendel 10923,arendeltech+10923@gmail.com,FULL_TIME,working,1,882,15:00
4178356,Arendel 10929,arendeltech+10929@gmail.com,FULL_TIME,working,1,882,13:00
4191649,Arendel 10948,arendeltech+10948@gmail.com,FULL_TIME,working,1,739,12:30
4198525,Arendel 10968,arendeltech+10968@gmail.com,FULL_TIME,working,1,739,14:00
4310947,Arendel 11322,arendeltech+11322@gmail.com,FULL_TIME,working,1,739,13:00
4067048,Arendel RIDER,arendeltech+509@gmail.com,FULL_TIME,working,1,902,15:00
4071026,arendeltech RIDER,arendeltech+596@gmail.com,FULL_TIME,working,1,902,15:00
4071035,arendeltech RIDER,arendeltech+598@gmail.com,FULL_TIME,working,1,902,15:00
4071056,arendeltech RIDER,arendeltech+600@gmail.com,FULL_TIME,working,1,902,15:30
4071101,arendeltech RIDER,arendeltech+609@gmail.com,FULL_TIME,working,1,902,15:00
4071122,arendeltech RIDER,arendeltech+606@gmail.com,FULL_TIME,working,1,902,11:00
4071139,arendeltech RIDER,arendeltech+604@gmail.com,FULL_TIME,working,1,902,16:00
4071201,arendeltech RIDER,arendeltech+618@gmail.com,FULL_TIME,working,1,902,15:00
4071248,arendeltech RIDER,arendeltech+622@gmail.com,FULL_TIME,working,1,902,14:30
4071323,arendeltech RIDER,arendeltech+627@gmail.com,FULL_TIME,ending,1,902,15:30
4071371,arendeltech RIDER,arendeltech+633@gmail.com,FULL_TIME,working,1,902,15:00
4071416,arendeltech RIDER,arendeltech+639@gmail.com,FULL_TIME,working,1,902,15:00
4071444,arendeltech RIDER,arendeltech+640@gmail.com,FULL_TIME,working,1,902,13:30
4071591,arendeltech RIDER,arendeltech+676@gmail.com,FULL_TIME,working,1,902,16:00
